Date;Time;Turbidity
2015-04-09;16:00:49;88.91
2015-04-09;16:02:49;90.58
2015-04-09;16:04:49;103.59
2015-04-09;16:06:49;100.26
2015-04-09;16:08:49;102.67
2015-04-09;16:10:49;115.83
2015-04-09;16:12:49;118.20
2015-04-09;16:14:49;138.84
2015-04-09;16:16:49;145.01
2015-04-09;16:18:49;151.25
2015-04-09;16:20:49;142.81
2015-04-09;16:22:49;161.93
2015-04-09;16:24:49;193.46
2015-04-09;16:26:49;198.28
2015-04-09;16:28:49;156.93
2015-04-09;16:30:49;174.77
2015-04-09;16:32:49;191.68
2015-04-09;16:34:49;214.24
2015-04-09;16:36:49;206.61
2015-04-09;16:38:49;222.89
2015-04-09;16:40:49;228.50
2015-04-09;16:42:49;234.74
2015-04-09;16:44:49;260.38
2015-04-09;16:46:49;261.19
2015-04-09;16:48:49;264.03
2015-04-09;16:50:49;292.93
2015-04-09;16:52:49;311.13
2015-04-09;16:54:49;316.20
2015-04-09;16:56:49;305.88
2015-04-09;16:58:49;322.94
2015-04-09;17:00:49;324.85
2015-04-09;17:02:49;298.22
2015-04-09;17:04:49;317.33
2015-04-09;17:06:49;304.42
2015-04-09;17:08:49;317.58
2015-04-09;17:10:49;304.07
2015-04-09;17:12:49;300.24
2015-04-09;17:14:49;303.89
2015-04-09;17:16:49;319.82
2015-04-09;17:18:49;319.46
2015-04-09;17:20:49;320.67
2015-04-09;17:22:49;316.09
2015-04-09;17:24:49;320.63
2015-04-09;17:26:49;308.47
2015-04-09;17:28:49;337.97
2015-04-09;17:30:49;309.00
2015-04-09;17:32:49;356.80
2015-04-09;17:34:49;336.27
2015-04-09;17:36:49;326.77
2015-04-09;17:38:49;355.63
2015-04-09;17:40:49;345.10
2015-04-09;17:42:49;340.35
2015-04-09;17:44:49;318.96
2015-04-09;17:46:49;336.84
2015-04-09;17:48:49;338.58
2015-04-09;17:50:49;350.88
2015-04-09;17:52:49;367.76
2015-04-09;17:54:49;375.85
2015-04-09;17:56:49;395.67
2015-04-09;17:58:49;399.26
2015-04-09;18:00:49;398.72
2015-04-09;18:02:49;381.17
2015-04-09;18:04:49;360.81
2015-04-09;18:06:49;379.96
2015-04-09;18:08:49;351.66
2015-04-09;18:10:49;342.34
2015-04-09;18:12:49;330.10
2015-04-09;18:14:49;324.60
2015-04-09;18:16:49;317.33
2015-04-09;18:18:49;303.93
2015-04-09;18:20:49;293.86
2015-04-09;18:22:49;296.30
2015-04-09;18:24:49;309.89
2015-04-09;18:26:49;303.61
2015-04-09;18:28:49;320.31
2015-04-09;18:30:49;332.12
2015-04-09;18:32:49;348.65
2015-04-09;18:34:49;337.76
2015-04-09;18:36:49;375.57
2015-04-09;18:38:49;384.57
2015-04-09;18:40:49;395.43
2015-04-09;18:42:49;407.27
2015-04-09;18:44:49;427.87
2015-04-09;18:46:49;445.71
2015-04-09;18:48:49;455.68
2015-04-09;18:50:49;483.77
2015-04-09;18:52:49;485.47
2015-04-09;18:54:49;514.37
2015-04-09;18:56:49;513.13
2015-04-09;18:58:49;551.96
2015-04-09;19:00:49;534.05
2015-04-09;19:02:49;517.49
2015-04-09;19:04:49;535.76
2015-04-09;19:06:49;606.58
2015-04-09;19:08:49;556.89
2015-04-09;19:10:49;677.40
2015-04-09;19:12:49;691.44
2015-04-09;19:14:49;667.40
2015-04-09;19:16:49;778.76
2015-04-09;19:18:49;839.47
2015-04-09;19:20:49;1071.83
2015-04-09;19:22:49;926.96
2015-04-09;19:24:49;1029.17
2015-04-09;19:26:49;1127.65
2015-04-09;19:28:49;1161.42
2015-04-09;19:30:49;1161.42
2015-04-09;19:32:49;1161.42
2015-04-09;19:34:49;1161.42
2015-04-09;19:36:49;1161.42
2015-04-09;19:38:49;1161.42
2015-04-09;19:40:49;1161.42
2015-04-09;19:42:49;1161.42
2015-04-09;19:44:49;1161.42
2015-04-09;19:46:49;1161.42
2015-04-09;19:48:49;1161.42
2015-04-09;19:50:49;1161.42
2015-04-09;19:52:49;1161.42
2015-04-09;19:54:49;1161.42
2015-04-09;19:56:49;1161.42
2015-04-09;19:58:49;1161.42
2015-04-09;20:00:49;1161.42
2015-04-09;20:02:49;1161.42
2015-04-09;20:04:49;1161.42
2015-04-09;20:06:49;1144.50
2015-04-09;20:08:49;1156.17
