Date;Time;Level
2012-06-15;11:15:32;0.00477314
2012-06-15;11:17:32;-0.000796318
2012-06-15;11:19:32;0.000795364
2012-06-15;11:21:32;0.002386093
2012-06-15;11:23:32;0
2012-06-15;11:25:32;-0.004774094
2012-06-15;11:27:32;-0.005569458
2012-06-15;11:29:32;-0.002387047
2012-06-15;11:31:32;-0.001591682
2012-06-15;11:33:32;-0.003978729
2012-06-15;11:35:32;0
2012-06-15;11:37:32;-0.006364822
2012-06-15;11:39:32;0.001590729
2012-06-15;11:41:32;-0.00716114
2012-06-15;11:43:32;-0.008751869
2012-06-15;11:45:32;-0.004774094
2012-06-15;11:47:32;-0.004774094
2012-06-15;11:49:32;-0.00716114
2012-06-15;11:51:32;-0.003182411
2012-06-15;11:53:32;-0.003978729
2012-06-15;11:55:32;-0.000796318
2012-06-15;11:57:32;-0.003978729
2012-06-15;11:59:32;-0.00716114
2012-06-15;12:01:32;-0.008751869
2012-06-15;12:03:32;-0.002387047
2012-06-15;12:05:32;-0.005569458
2012-06-15;12:07:32;-0.007956505
2012-06-15;12:09:32;-0.000796318
2012-06-15;12:11:32;-0.00716114
2012-06-15;12:13:32;-0.005569458
2012-06-15;12:15:32;-0.003182411
2012-06-15;12:17:32;-0.001591682
2012-06-15;12:19:32;-0.00716114
2012-06-15;12:21:32;-0.01193428
2012-06-15;12:23:32;-0.008751869
2012-06-15;12:25:32;-0.007956505
2012-06-15;12:27:32;-0.010343552
2012-06-15;12:29:32;-0.010343552
2012-06-15;12:31:32;-0.01193428
2012-06-15;12:33:32;-0.011138916
2012-06-15;12:35:32;-0.00716114
2012-06-15;12:37:32;-0.008751869
2012-06-15;12:39:32;-0.004774094
2012-06-15;12:41:32;-0.007956505
2012-06-15;12:43:32;-0.007956505
2012-06-15;12:45:32;-0.008751869
2012-06-15;12:47:32;-0.00716114
2012-06-15;12:49:32;-0.011138916
2012-06-15;12:51:32;-0.010343552
2012-06-15;12:53:32;-0.009547234
2012-06-15;12:55:32;-0.009547234
2012-06-15;12:57:32;-0.00716114
2012-06-15;12:59:32;-0.01193428
2012-06-15;13:01:32;-0.015912056
