Date;Time;Turbidity
2012-06-15;11:15:32;9.646245003
2012-06-15;11:17:32;12.80255318
2012-06-15;11:19:32;7.589325428
2012-06-15;11:21:32;8.866034508
2012-06-15;11:23:32;7.908502579
2012-06-15;11:25:32;10.07181454
2012-06-15;11:27:32;8.050358772
2012-06-15;11:29:32;9.539853096
2012-06-15;11:31:32;8.298607826
2012-06-15;11:33:32;8.936962128
2012-06-15;11:35:32;7.624789238
2012-06-15;11:37:32;10.49738407
2012-06-15;11:39:32;9.114283562
2012-06-15;11:41:32;7.943966389
2012-06-15;11:43:32;8.54685688
2012-06-15;11:45:32;12.19966316
2012-06-15;11:47:32;7.837574005
2012-06-15;11:49:32;9.149746895
2012-06-15;11:51:32;7.766645908
2012-06-15;11:53:32;10.99388218
2012-06-15;11:55:32;6.170759678
2012-06-15;11:57:32;10.00088692
2012-06-15;11:59:32;8.724177361
2012-06-15;12:01:32;8.227679253
2012-06-15;12:03:32;7.2701478
2012-06-15;12:05:32;7.908502579
2012-06-15;12:07:32;8.617785454
2012-06-15;12:09:32;9.78810215
2012-06-15;12:11:32;6.383544445
2012-06-15;12:13:32;8.121287346
2012-06-15;12:15:32;10.10727882
2012-06-15;12:17:32;8.3695364
2012-06-15;12:19:32;7.23468399
2012-06-15;12:21:32;7.2701478
2012-06-15;12:23:32;7.057363033
2012-06-15;12:25:32;10.92295361
2012-06-15;12:27:32;8.014894485
2012-06-15;12:29:32;7.908502579
2012-06-15;12:31:32;6.312616348
2012-06-15;12:33:32;8.440464973
2012-06-15;12:35:32;8.440464973
2012-06-15;12:37:32;6.91550684
2012-06-15;12:39:32;8.121287346
2012-06-15;12:41:32;7.660253525
2012-06-15;12:43:32;7.766645908
2012-06-15;12:45:32;8.440464973
2012-06-15;12:47:32;6.986434937
2012-06-15;12:49:32;11.13573933
2012-06-15;12:51:32;6.91550684
2012-06-15;12:53:32;8.901497841
2012-06-15;12:55:32;7.412004471
2012-06-15;12:57:32;8.724177361
2012-06-15;12:59:32;8.54685688
2012-06-15;13:01:32;8.121287346
2012-06-15;13:03:32;7.553861141
2012-06-15;13:05:32;9.646245003
2012-06-15;13:07:32;6.560865402
2012-06-15;13:09:32;10.2845993
2012-06-15;13:11:32;7.376540184
2012-06-15;13:13:32;8.724177361
2012-06-15;13:15:32;8.475928307
2012-06-15;13:17:32;6.383544445
2012-06-15;13:19:32;7.412004471
2012-06-15;13:21:32;9.539853096
2012-06-15;13:23:32;8.334072113
2012-06-15;13:25:32;7.518396854
2012-06-15;13:27:32;10.07181454
2012-06-15;13:29:32;6.560865402
2012-06-15;13:31:32;8.795105934
2012-06-15;13:33:32;11.38398743
2012-06-15;13:35:32;7.376540184
2012-06-15;13:37:32;6.596329212
2012-06-15;13:39:32;7.199219704
2012-06-15;13:41:32;6.986434937
2012-06-15;13:43:32;9.043354988
2012-06-15;13:45:32;7.979430676
2012-06-15;13:47:32;7.128291607
2012-06-15;13:49:32;9.610780716
2012-06-15;13:51:32;8.298607826
2012-06-15;13:53:32;6.986434937
2012-06-15;13:55:32;10.56831264
2012-06-15;13:57:32;7.057363033
2012-06-15;13:59:32;9.043354988
2012-06-15;14:01:32;7.624789238
2012-06-15;14:03:32;7.128291607
2012-06-15;14:05:32;7.660253525
2012-06-15;14:07:32;6.809113979
2012-06-15;14:09:32;7.873038292
2012-06-15;14:11:32;6.844578266
2012-06-15;14:13:32;7.660253525
2012-06-15;14:15:32;6.170759678
2012-06-15;14:17:32;9.504388809
2012-06-15;14:19:32;7.518396854
2012-06-15;14:21:32;7.447468758
2012-06-15;14:23:32;6.95097065
2012-06-15;14:25:32;6.028903008
2012-06-15;14:27:32;6.95097065
2012-06-15;14:29:32;6.596329212
2012-06-15;14:31:32;7.376540184
2012-06-15;14:33:32;10.39099216
2012-06-15;14:35:32;9.327068329
2012-06-15;14:37:32;7.305612087
2012-06-15;14:39:32;9.256139755
2012-06-15;14:41:32;6.560865402
2012-06-15;14:43:32;7.199219704
2012-06-15;14:45:32;8.050358772
2012-06-15;14:47:32;6.419008732
2012-06-15;14:49:32;7.802110195
2012-06-15;14:51:32;7.341076374
2012-06-15;14:53:32;7.305612087
2012-06-15;14:55:32;8.014894485
2012-06-15;14:57:32;9.043354988
2012-06-15;14:59:32;7.589325428
2012-06-15;15:01:32;7.660253525
2012-06-15;15:03:32;7.163755417
2012-06-15;15:05:32;8.085823059
2012-06-15;15:07:32;7.589325428
2012-06-15;15:09:32;8.3695364
2012-06-15;15:11:32;6.738185883
2012-06-15;15:13:32;8.795105934
2012-06-15;15:15:32;8.334072113
2012-06-15;15:17:32;9.504388809
2012-06-15;15:19:32;8.54685688
2012-06-15;15:21:32;9.575316429
2012-06-15;15:23:32;7.163755417
2012-06-15;15:25:32;9.043354988
2012-06-15;15:27:32;8.014894485
2012-06-15;15:29:32;7.873038292
2012-06-15;15:31:32;8.440464973
2012-06-15;15:33:32;19.54073906
2012-06-15;15:35:32;7.341076374
2012-06-15;15:37:32;8.54685688
2012-06-15;15:39:32;7.518396854
2012-06-15;15:41:32;7.128291607
2012-06-15;15:43:32;8.759641647
2012-06-15;15:45:32;7.2701478
2012-06-15;15:47:32;7.624789238
2012-06-15;15:49:32;8.972426414
2012-06-15;15:51:32;8.901497841
2012-06-15;15:53:32;7.341076374
2012-06-15;15:55:32;6.028903008
2012-06-15;15:57:32;8.227679253
2012-06-15;15:59:32;6.702721596
2012-06-15;16:01:32;7.660253525
2012-06-15;16:03:32;7.589325428
2012-06-15;16:05:32;8.405000687
2012-06-15;16:07:32;8.050358772
2012-06-15;16:09:32;7.837574005
2012-06-15;16:11:32;7.802110195
2012-06-15;16:13:32;7.589325428
2012-06-15;16:15:32;6.844578266
2012-06-15;16:17:32;8.050358772
2012-06-15;16:19:32;7.624789238
2012-06-15;16:21:32;8.050358772
2012-06-15;16:23:32;8.156751633
2012-06-15;16:25:32;8.085823059
2012-06-15;16:27:32;7.341076374
2012-06-15;16:29:32;6.702721596
2012-06-15;16:31:32;7.589325428
2012-06-15;16:33:32;7.908502579
2012-06-15;16:35:32;6.525401115
2012-06-15;16:37:32;7.731181622
2012-06-15;16:39:32;8.3695364
